Date,Description,Amount,Balance,Category
2024-10-18,Restaurant,553.75,109483.90999999996,Food
2024-10-09,Salary Payment,1820.35,111304.25999999997,Salary
2024-10-03,Salary Payment,4309.67,115613.92999999996,Salary
2024-10-18,Salary Payment,-221.76,115392.16999999997,Salary
2024-10-28,Grocery Store,4595.02,119987.18999999997,Food
2024-10-16,Rent Payment,1735.28,121722.46999999997,Rent
2024-10-06,Apartment Rent,4463.44,126185.90999999997,Rent
2024-10-09,Salary Payment,4919.2,131105.11,Salary
2024-10-31,Bonus Payment,1826.54,132931.65,Salary
2024-10-10,Online Shopping,351.38,133283.03,Other
2024-10-18,Rent Payment,2685.49,135968.52,Rent
2024-10-19,Supermarket,-185.59,135782.93,Food
2024-10-17,Salary Payment,-187.16,135595.77,Salary
2024-10-03,Restaurant,-123.13,135472.63999999998,Food
2024-10-31,Book Purchase,1720.77,137193.40999999997,Other
2024-10-02,Spotify Subscription,2684.05,139877.45999999996,Entertainment
2024-10-19,Netflix Subscription,1805.74,141683.19999999995,Entertainment
2024-10-07,Movie Ticket,4640.88,146324.07999999996,Entertainment
2024-10-13,Clothing Store,812.77,147136.84999999995,Other
2024-10-30,Apartment Rent,2014.74,149151.58999999994,Rent
2024-10-19,Grocery Store,2020.57,151172.15999999995,Food
2024-10-17,Grocery Store,2456.99,153629.14999999994,Food
2024-10-29,Water Bill,4632.93,158262.07999999993,Bills
2024-10-06,Restaurant,1532.4,159794.47999999992,Food
2024-10-26,Bonus Payment,2864.23,162658.70999999993,Salary
2024-10-18,Gym Membership,3173.25,165831.95999999993,Other
2024-10-05,Electricity Bill,4664.12,170496.07999999993,Bills
2024-10-24,Electricity Bill,4393.42,174889.49999999994,Bills
2024-10-20,Spotify Subscription,997.92,175887.41999999995,Entertainment
2024-10-21,Apartment Rent,619.79,176507.20999999996,Rent
2024-10-30,Phone Bill,881.17,177388.37999999998,Bills
2024-10-27,Grocery Store,2988.56,180376.93999999997,Food
2024-10-25,Electricity Bill,-480.5,179896.43999999997,Bills
2024-10-15,Apartment Rent,388.7,180285.13999999998,Rent
2024-10-04,Concert Ticket,2584.99,182870.12999999998,Entertainment
2024-10-27,Restaurant,2500.75,185370.87999999998,Food
2024-10-02,Water Bill,1863.83,187234.70999999996,Bills
2024-10-26,Internet Bill,4444.4,191679.10999999996,Bills
2024-10-08,Supermarket,655.42,192334.52999999997,Food
2024-10-18,Gym Membership,1445.23,193779.75999999998,Other
2024-10-08,Salary Payment,4591.7,198371.46,Salary
2024-10-01,Rent Payment,4347.79,202719.25,Rent
2024-10-14,Apartment Rent,3803.13,206522.38,Rent
